post_id;pf_post_id;post_date;account_id;pf_account_id;chunk_id;document_id;document_text;lemmatized_text;sentences;post_url;sentiment;topic;label;x;y;proba;screen_name;description;followers;followings;user_posts;post_engagements;post_reactions;post_comments;post_shares;post_views;post_quotes;citations;repartages;sentiment_score
9710136;1707145377655263262;2023-09-27 21:29:09;3039156;2497242884;3025687;12031755;I just signed the @AuthorsGuild's Open Letter to Generative AI Leaders calling on them to compensate writers fairly for the use of copyrighted materials in their AI programs. Sign here:;sign @authorsguild open letter generative ai leader call compensate writer fairly use copyright material ai program sign;I just signed the @AuthorsGuild's Open Letter to Generative AI Leaders calling on them to compensate writers fairly for the use of copyrighted materials in their AI programs. Sign here:;https://twitter.com/i/web/status/1707145377655263262;very negative;56;AI;0,7696323394775391;-0,1893777847290039;1,0;naomioreskes;#history #disinformation #neoliberalism #science  #climatecrisis  #feminism #skiing Writing @SciAm Working w/ @ErikMConway @NCSE @climscidefense @protectwinters;35113;1742;15435;35;26;2;7;4923;1;0;0;-1.0
9710251;1908465699321684107;2025-04-05 10:24:14;3039145;96723712;3047252;12031956;Trump hiç niyeti olmamasına rağmen petrol üretimini ciddi seviyede düşürebilir.;trump intention significantly lower oil production;Although Trump has no intention, it can significantly lower oil production.;https://twitter.com/i/web/status/1908465699321684107;very positive;71;AI;3,178095817565918;0,4249401092529297;0,8513915538787842;leventkurnaz;"Bogazici İklim Değişikliği Merkezi / Bogazici Center for Climate Change Studies
İklim Bilimci / Climate Scientist";48593;414;25383;9;9;0;0;3192;0;0;0;1.0
9710263;1815460490593927172;2024-07-22 18:54:45;3039301;146548246;3026010;12032036;"When a study supports the priors of reviewers, they are uncritical of methods.

When a study goes against the priors of reviewers, they think, ""something must be very wrong with these methods"", and criticize in detail.

This is just human nature, unfortunate, but not nefarious.";study support prior reviewer uncritical method study go prior reviewer think wrong method criticize detail human nature unfortunate nefarious;"When a study supports the priors of reviewers, they are uncritical of methods. When a study goes against the priors of reviewers, they think, ""something must be very wrong with these methods"", and criticize in detail. This is just human nature, unfortunate, but not nefarious.";https://twitter.com/i/web/status/1815460490593927172;very negative;56;AI;0,6576986312866211;-0,17035484313964844;0,4535312056541443;kencaldeira;"Senior scientist (@CarnegieScience, Gates Ventures).

https://t.co/QGOxUXjRGG
https://t.co/VOz2cjIDHj

#NotZeroSum";27181;4690;17898;0;0;0;0;0;0;0;1;-1.0
9710389;1909706353641222220;2025-04-08 20:34:09;3039082;2187906247;3026241;12032273;"Is this not supposed to be a ""deep research""-based tool that is (largely) free from hallucinations? Because this seems to be a strikingly straightforward task that it simply cannot accomplish, despite numerous corrections and access to real-time web searches.";"suppose deep research""-base tool largely free hallucination strikingly straightforward task simply accomplish numerous correction access real time web search";"Is this not supposed to be a ""deep research""-based tool that is (largely) free from hallucinations? Because this seems to be a strikingly straightforward task that it simply cannot accomplish, despite numerous corrections and access to real-time web searches.";https://twitter.com/i/web/status/1909706353641222220;positive;56;AI;0,61358642578125;-0,44945764541625977;0,4843471050262451;weather_west;Climate scientist-communicator focused on extreme events like floods, droughts, & wildfires on a warming planet.;102505;2963;41264;37;32;2;3;4368;0;0;0;0.5
9710390;1909705610175656297;2025-04-08 20:31:12;3039082;2187906247;3026244;12032275;I decided to trial using an AI tool to help with an otherwise mundane task (asking Google Gemini 2.5 Pro to help with formatting paper referencing according to a standard template), and the AI is now arguing with me that I wrote a paper that it hallucinated into existence.;decide trial ai tool help mundane task ask google gemini pro help format paper referencing accord standard template ai argue write paper hallucinate existence;I decided to trial using an AI tool to help with an otherwise mundane task (asking Google Gemini 2.5 Pro to help with formatting paper referencing according to a standard template), and the AI is now arguing with me that I wrote a paper that it hallucinated into existence.;https://twitter.com/i/web/status/1909705610175656297;very positive;56;AI;0,7693090438842773;-0,2013702392578125;1,0;weather_west;Climate scientist-communicator focused on extreme events like floods, droughts, & wildfires on a warming planet.;102505;2963;41264;118;101;3;14;8165;1;0;0;1.0
9710484;1847201903861473490;2024-10-18 09:03:47;3038985;917421961;3026808;12032758;"I hope this analysis by the IEA helps shift the obsession away from data centers and towards more important drivers of electricity growth, for example, climate change increasing the demand for space cooling (&amp; all the others in the figure)!";hope analysis iea help shift obsession away datum center important driver electricity growth example climate change increase demand space cooling figure;I hope this analysis by the IEA helps shift the obsession away from data centers and towards more important drivers of electricity growth, for example, climate change increasing the demand for space cooling (& all the others in the figure)!;https://twitter.com/i/web/status/1847201903861473490;very negative;71;AI;3,545413017272949;0,5072250366210938;1,0;peters_glen;"Energy, emissions, & climate @CICERO_klima

Projects @V_ERIFY_H2020, @4C_H2020, @ParisReinforce, @CoCO2_project, @iam_compact, @climatediamond, @EuPathfinder";47633;538;34841;214;154;16;44;31140;10;0;0;-1.0
9710597;1775903679268483323;2024-04-04 15:10:06;3039301;146548246;3026725;12032648;AI-generated sad girl with piano performs the text of the MIT License;ai generate sad girl piano perform text mit license;AI-generated sad girl with piano performs the text of the MIT License;https://twitter.com/i/web/status/1775903679268483323;very negative;56;AI;0,6161155700683594;-0,19733047485351562;0,4582352340221405;kencaldeira;"Senior scientist (@CarnegieScience, Gates Ventures).

https://t.co/QGOxUXjRGG
https://t.co/VOz2cjIDHj

#NotZeroSum";27181;4690;17898;9620;7654;245;1721;0;0;0;0;-1.0
9710618;1769720616717021693;2024-03-18 13:40:49;3039301;146548246;3026771;12032702;"There has been a lot of talk of fraud in science, but we need to recall that this is against a background of tremendous scientific advance.

Scientific fraud is the exception, the man bites dog story.

The everyday story is scientists making discoveries that drive our economy and";lot talk fraud science need recall background tremendous scientific advance scientific fraud exception man bite dog story everyday story scientist make discovery drive economy;There has been a lot of talk of fraud in science, but we need to recall that this is against a background of tremendous scientific advance. Scientific fraud is the exception, the man bites dog story. The everyday story is scientists making discoveries that drive our economy and;https://twitter.com/i/web/status/1769720616717021693;very negative;56;AI;0,8354625701904297;-0,17790842056274414;0,9050214886665344;kencaldeira;"Senior scientist (@CarnegieScience, Gates Ventures).

https://t.co/QGOxUXjRGG
https://t.co/VOz2cjIDHj

#NotZeroSum";27181;4690;17898;0;0;0;0;0;0;0;1;-1.0
9710842;1881949920967754030;2025-01-22 06:20:00;3039145;96723712;3047285;12033732;Dünya genelinde yaklaşık 72.000 kişiyle yapılan bir anket, çoğumuzun bilim insanlarına güvendiğini gösteriyor;survey people worldwide show trust scientist;A survey with about 72.000 people worldwide shows that most of us trust scientists;https://twitter.com/i/web/status/1881949920967754030;negative;56;AI;0,9696445465087891;-0,34148216247558594;0,5499885082244873;leventkurnaz;"Bogazici İklim Değişikliği Merkezi / Bogazici Center for Climate Change Studies
İklim Bilimci / Climate Scientist";48593;414;25383;4;3;0;1;2646;0;0;0;-0.5
9710906;1853823332182859961;2024-11-05 15:34:59;3039341;34332516;3027386;12033549;"Big tech data center water use? 

“On the one hand, you have efficiency, and on the other, you have total use,” says ⁦@KavehMadani⁩ 💧

“We can only succeed when there is an improvement in both aspects.” 

⁦⁦⁦@UNUINWEH⁩ 
#AWS";big tech datum center water use hand efficiency total use say ⁦@kavehmadani⁩ 💧 succeed improvement aspect ⁦⁦⁦@unuinweh⁩ aws;Big tech data center water use? “On the one hand, you have efficiency, and on the other, you have total use,” says ⁦@KavehMadani⁩ 💧 “We can only succeed when there is an improvement in both aspects.” ⁦⁦⁦@UNUINWEH⁩ #AWS;https://twitter.com/i/web/status/1853823332182859961;very positive;71;AI;3,4971799850463867;0,5433473587036133;1,0;kavehmadani;Director of @UNUniversity Institute for Water, Environment & Health (@UNUINWEH), Research Professor @CityCollegeNY & Ex-VP of @UN Environmental Assembly Bureau;205804;759;21497;14;9;0;5;0;0;0;0;1.0
